,artist_individual,streams
6531,Kabza De Small&Dj Maphorisa,19654
11861,Sik-K,19673
9166,Mr. Happyman,19707
4798,Gilberto Santa Rosa,19728
4334,Fiokee,19778
11983,Skyminhyuk,19892
2329,Chillin Homie,19892
9122,Mostafa Shaban,19892
4527,Funk D,19897
8440,Mario Judah,19978
3608,Dér Heni,19994
6682,Kasza Tibi,19994
3657,EMR3YGUL,20012
9116,Moses,20012
637,Alexiane,20012
1547,Benny Cristo,20020
3169,Denom,20184
9875,Ofili,20196
12851,The Sound Poets,20199
14947,戴祖儀,20215
3648,ELYSA,20221
7858,Luke Goliath,20329
2668,DHALI,20341
4392,Focus Raziel,20350
243,ALEY STAR,20406
11413,Saib,20415
4367,FloFilz,20415
322,Aaryan Shah,20520
5620,Ismael Rivera,20529
7554,Lil Frosh,20592
11876,Silvester Belt,20620
1271,BIG MAMA,20683
5196,Haze Badazz,20794
4285,Fendo,20801
7582,Lil Tib,20801
6127,Joey Fatts,20830
13811,XXXRAYS,20832
5628,Issa,20845
1099,Assouad,20845
13408,Vama,20916
1498,Beissoul & Einius,20925
3659,ENNY,20933
15020,陳穎欣,20954
9068,Moneykush,20976
9328,NOVAI,21059
553,Alaina Castillo,21118
14095,Yves V,21149
1160,Axel Cooper,21149
11292,SHANGUY,21149
13500,Vida Marci,21196
9834,ONZY,21219
2289,ChefNaykei,21219
14988,胡學軒,21228
9099,Moozlie,21272
13565,Vivian Koo,21291
13075,Toskinol,21305
13628,WILL K,21341
6676,Kaskade,21341
12100,Song I Han,21378
8586,Matthew Mole,21382
11388,Sabrina Claudio,21387
5378,Hundred Sins,21463
6288,Juan Caldera,21481
14773,Серебряная свадьба,21534
12205,Start,21541
9441,Navai,21629
5450,INNOVATIVE DJz,21646
13646,Wade Yarrow,21646
9459,Nedarb,21694
5982,Jazzy Deep,21737
9539,Nhlanhla,21737
2532,Coster Vundras,21757
4289,Ferdinant Kapo,21771
11856,Sigríður Beinteinsdóttir,21827
13724,White Punk,21856
12137,Souloho,21869
7313,LadyDu,21870
820,Andile Mpisane,21870
10883,Reece,21870
14088,Yuri,21888
7168,LAYCON,21891
5592,Iratus,21891
5739,JJ47,21904
14199,Zeno Music,21940
3159,Denis Spaniolu',21940
9286,NCT,21970
13406,Valter,22076
1007,Arik Einstein,22103
3215,Di-Meh,22150
14853,محمد الديحاني,22242
3999,Endru,22268
10652,R.O.O.T,22284
2922,Dali,22388
5371,Hulumeni,22388
13951,Yellow!,22391
10530,Prettyboy D-O,22394
12468,TDK Macassette,22414
4546,G-KAL,22448
5578,Intelligency,22456
14350,eArtist,22459
13370,VSA,22493
3662,ERDJOO,22493
14394,george,22591
7956,MARUV,22643
11305,SICKOTOY,22643
11679,Sesselja Magnúsdóttir,22703
13232,Twins,22723
1895,Brown Eyed Girls,22728
14435,k gang,22819
4843,Gobi Beast,22852
3370,Dj Respect,22852
10153,Pakkitka,22887
11338,SOPHY,22925
8729,Medovyi Polyn,23019
14348,dy,23079
10599,Péterfy Bori & Love Band,23079
1926,Bslime,23119
7846,Luisao,23155
14902,余香凝,23159
13979,Yoana Sashova,23180
6658,Karla,23184
1977,By Индия,23213
12037,Snotkop,23247
2636,DAKOOKA,23250
6722,Kayee Tam,23251
11043,Roberto,23258
3194,Devid,23258
12544,Tactu,23258
1944,Buju,23259
4491,Fresh L.,23259
3623,E-An-Na,23277
9884,Oisho btz,23361
1897,BrownY Original,23493
12246,Stephanie Ho,23497
8581,Matteo,23508
7131,Kór Bústaðarkirkju,23583
12854,The Stray,23650
9886,Ojārs Grīnbergs,23708
6957,Klara Sif,23792
12413,Szalai,23855
123,6363,23952
2622,D.Koms,23952
4706,Geddo,23952
2120,Cap Gold,23982
13326,Ustata,24016
14631,xakavir,24072
14041,YoungstaCPT,24076
2825,DJ Wegun,24096
14754,Мэвл,24141
12286,Straight No Chaser,24177
7055,Kristen Bell,24177
9180,Ms. Lauryn Hill,24205
11187,Rurik,24223
