,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
456,RUN-D.M.C.,6.0,5,3,1,0
457,SAM SMITH,6.0,2,2,1,0
458,SEAL,6.0,4,2,1,0
459,SEALS & CROFTS,6.0,6,2,2,0
460,SISQO,6.0,2,2,1,0
461,SLIPKNOT,6.0,6,4,1,0
462,SPIN DOCTORS,6.0,2,2,1,0
463,STEVEN CURTIS CHAPMAN,6.0,10,2,0,0
464,TEDDY PENDERGRASS,6.0,8,4,0,0
465,THREE DAYS GRACE,6.0,3,3,2,0
466,WAR,6.0,10,2,0,0
467,WILSON PHILLIPS,6.0,2,2,1,0
468,XXXTENTACION,6.0,4,2,2,0
469,112,5.5,4,3,2,0
470,ASIA,5.5,3,2,1,0
471,BLACKSTREET,5.5,3,2,1,0
472,CARMAN,5.5,9,2,0,0
473,CHARLEY PRIDE,5.5,11,0,0,0
474,CHRIS STAPLETON,5.5,3,2,1,0
475,CHRISTOPHER CROSS,5.5,2,1,1,0
476,COLLIN RAYE,5.5,6,5,0,0
477,DC TALK,5.5,6,3,1,0
478,DEANA CARTER,5.5,2,1,1,0
479,DEBBIE GIBSON,5.5,3,2,2,0
480,DIAMOND RIO,5.5,8,3,0,0
481,DJ JAZZY JEFF & FRESH PRINCE,5.5,5,2,1,0
482,EDDIE MONEY,5.5,5,4,1,0
483,GARY ALLAN,5.5,8,3,0,0
484,GINUWINE,5.5,4,3,2,0
485,JACK JOHNSON,5.5,5,4,1,0
486,JASON MRAZ,5.5,4,3,1,0
487,KRIS KROSS,5.5,3,2,1,0
488,LEE ANN WOMACK,5.5,5,2,1,0
489,LOS TIGRES DEL NORTE,5.5,10,1,0,0
490,MARC ANTHONY,5.5,6,1,1,0
491,MAXWELL,5.5,5,4,1,0
492,MERLE HAGGARD,5.5,8,3,0,0
493,MITCH MILLER & THE GANG,5.5,11,0,0,0
494,N.W.A.,5.5,4,3,1,0
495,PHISH,5.5,9,2,0,0
496,ROB ZOMBIE,5.5,4,3,1,0
497,SANDI PATTI,5.5,8,3,0,0
498,SARA EVANS,5.5,6,3,1,0
499,SMASH MOUTH,5.5,3,2,2,0
500,SUGAR RAY,5.5,3,2,2,0
501,THE THREE TENORS,5.5,5,2,1,0
502,THIRD DAY,5.5,9,2,0,0
503,YOUNG JEEZY,5.5,5,4,1,0
504,ADAM SANDLER,5.0,4,2,2,0
505,ALAN PARSONS PROJECT,5.0,7,3,0,0
506,ALL-4-ONE,5.0,2,2,1,0
507,ASHANTI,5.0,3,3,1,0
508,AVENGED SEVENFOLD,5.0,5,5,0,0
509,BANGLES,5.0,3,3,1,0
510,BELL BIV DEVOE,5.0,3,1,1,0
511,BILLIE EILISH,5.0,2,2,1,0
512,BLONDIE,5.0,4,4,1,0
513,BOW WOW,5.0,5,3,1,0
514,C&C MUSIC FACTORY,5.0,1,1,1,0
515,CAMEO,5.0,9,1,0,0
516,CHARLIE RICH,5.0,3,1,1,0
517,CLAY WALKER,5.0,6,4,0,0
518,COMMODORES,5.0,7,3,0,0
519,DIANA KRALL,5.0,7,3,0,0
520,EN VOGUE,5.0,3,3,1,0
521,FERGIE,5.0,1,1,1,0
522,FIVE FINGER DEATH PUNCH,5.0,7,3,0,0
523,GEORGE THOROGOOD & THE DESTROYERS,5.0,8,2,0,0
524,GIN BLOSSOMS,5.0,2,2,1,0
525,IMAGINE DRAGONS,5.0,3,3,2,0
526,JAY-Z & KANYE WEST,5.0,1,1,1,0
527,JOE,5.0,4,2,1,0
528,K-CI & JOJO,5.0,3,3,1,0
529,KESHA,5.0,4,2,1,0
530,KHALID,5.0,2,2,2,0
531,LIL BABY,5.0,4,2,1,0
532,LITTLE RIVER BAND,5.0,5,3,1,0
533,LUKE COMBS,5.0,2,2,2,0
534,MASE,5.0,3,1,1,0
535,MILEY CYRUS,5.0,3,3,1,0
536,MILEY CYRUS AS HANNAH MONTANA,5.0,2,2,2,0
537,MYSTIKAL,5.0,5,3,1,0
